,name_0,name_1,name_2,symbol_0,symbol_1,symbol_2,region_0,region_1,region_2,currencies_0,currencies_1,currencies_2
Lockheed Martin Corporation,Lockheed Martin Corporation,Lockheed Martin Corporation,Lockheed Martin Corporation,LMT,LMT.ARG,LMTB34.SAO,United States,Argentina,Brazil/Sao Paolo,USD,ARS,BRL
London Stock Exchange Group plc,London Stock Exchange Group plc,American Beacon The London Company Income Equity Fund R5 Class,American Beacon The London Company Income Equity Fund Y Class,LNSTY,ABCIX,ABCYX,United States,United States,United States,USD,USD,USD
LUFTHANSA AG VNA O.N.,LUFTHANSA AG VNA O.N.,Deutsche Lufthansa AG,Deutsche Lufthansa AG,LHA.BER,DLAKY,DLAKF,Berlin,United States,United States,EUR,USD,USD
"LVMH Moet Hennessy - Louis Vuitton, Societe Europeenne","LVMH Moet Hennessy - Louis Vuitton, Societe Europeenne","LVMH Moet Hennessy - Louis Vuitton, Societe Europeenne",Societe Generale Societe anonyme,LVMUY,LVMHF,SCGLY,United States,United States,United States,USD,USD,USD
Mastercard Incorporated,Mastercard Incorporated,Mastercard Incorporated,Mastercard Incorporated,MA,M4I.DEX,M4I.FRK,United States,XETRA,Frankfurt,USD,EUR,EUR
"MCDONALDS CORP.  DL-,01","MCDONALDS CORP.  DL-,01","MCDONALDS CORP.  DL-,01","MCDONALDS CORP.  DL-,01",MDO.BER,MDO.MUN,MDO.HAN,Berlin,Munich,Hanover,EUR,EUR,EUR
Merck & Co. Inc.,Merck & Co. Inc.,MERCK Kommanditgesellschaft auf Aktien,MERCK Kommanditgesellschaft auf Aktien,MRK,MKKGY,MKGAF,United States,United States,United States,USD,USD,USD
Compagnie Generale des Etablissements Michelin Societe en commandite par actions,Compagnie Generale des Etablissements Michelin Societe en commandite par actions,Compagnie Generale des Etablissements Michelin Societe en commandite par actions,Compagnie Generale des Etablissements Michelin Societe en commandite par actions,MGDDY,MGDDF,ML.PAR,United States,United States,Paris,USD,USD,EUR
Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,MSFT,MSFT.ARG,MSF.DEX,United States,Argentina,XETRA,USD,ARS,EUR
Maui Land & Pineapple Company Inc.,Maui Land & Pineapple Company Inc.,Alerian MLP ETF,InfraCap MLP ETF,MLP,AMLP,AMZA,United States,United States,United States,USD,USD,USD
