,Tm,FantPos,Age,G,GS,Cmp_p,Att_p,Yds_p,TD_p,Int_p,Att_r,Yds_r,Y/A_r,TD_r,Tgt_c,Rec_c,Yds_c,Y/R_c,TD_c,Fmb_f,FL_f,TD_f,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Willie Snead,BAL,WR,27,32,21,0,0,0,0,0,3,15,14.0,0,141,93,990,21.439999999999998,6,0,0,6,,,136.0,229.5,235.5,183.0,,141,
Jimmy Graham,GNB,TE,33,32,22,0,0,0,0,0,0,0,,0,149,93,1083,23.32,5,1,0,5,,,139.0,231.3,237.3,184.8,,36,
Auden Tate,CIN,WR,22,19,10,0,0,0,0,0,0,0,,0,92,44,610,23.130000000000003,1,1,1,1,,,66.0,109.0,113.0,87.0,,251,
Taylor Gabriel,CHI,WR,28,25,18,0,0,0,0,0,12,81,13.45,0,141,96,1041,22.439999999999998,6,1,1,6,,,146.0,242.2,249.2,194.2,,128,
Marquez Valdes-Scantling,GNB,WR,25,32,20,0,0,0,0,0,4,38,19.0,0,129,64,1033,32.67,4,0,0,4,,,131.0,195.1,201.1,163.1,,142,
Malcolm Brown,LAR,RB,26,26,1,0,0,0,0,0,112,467,8.629999999999999,5,13,7,68,18.4,1,0,0,6,,,91.0,98.5,104.5,95.0,,138,
Jeff Driskel,DET,QB,26,12,8,167,281,1688,10,6,47,281,12.06,3,1,1,6,,0,5,1,3,,,142.0,143.2,162.2,148.7,,73,
Brian Hill,ATL,RB,24,22,2,0,0,0,0,0,98,480,11.989999999999998,2,16,11,78,15.9,1,1,1,3,,,72.0,82.8,89.80000000000001,77.3,,152,
Jaylen Samuels,PIT,RB,23,28,7,4,5,35,0,1,122,431,7.220000000000001,1,86,73,504,14.14,4,2,1,5,,,121.0,193.9,207.9,158.4,,113,
Tajae Sharpe,TEN,WR,25,31,19,0,0,0,0,0,1,16,,0,82,51,645,25.310000000000002,6,0,0,6,,,102.0,153.10000000000002,159.10000000000002,127.60000000000001,,173,
Eric Ebron,IND,TE,26,27,10,0,1,0,0,0,3,-8,,1,162,97,1125,23.46,16,1,1,17,,,212.0,308.7,315.7,260.2,,27,
Ted Ginn,NOR,WR,34,21,12,0,0,0,0,0,6,44,14.67,0,86,47,630,26.32,4,1,1,4,,,92.0,138.4,145.4,114.9,,188,
Nelson Agholor,PHI,WR,26,27,26,1,1,15,0,0,5,39,14.17,0,166,103,1099,20.810000000000002,7,3,1,7,,,156.0,259.4,266.4,207.9,,119,
Cameron Brate,TAM,TE,28,32,8,0,0,0,0,0,0,0,,0,104,66,600,18.270000000000003,10,1,1,10,,,118.0,184.0,191.0,151.0,,42,
Keelan Cole,JAX,WR,26,32,12,0,0,0,0,0,1,6,,0,105,62,852,27.96,4,2,2,4,,,106.0,167.8,175.8,136.8,,167,
Blake Jarwin,DAL,TE,25,32,11,0,0,0,0,0,0,0,,0,77,58,672,23.14,6,1,0,6,,,104.0,161.2,167.2,132.2,,51,
Jordan Akins,HOU,TE,27,32,15,0,0,0,0,0,0,0,,0,80,53,643,24.85,2,0,0,2,,,77.0,129.3,135.3,102.8,,82,
Eli Manning,NYG,QB,38,20,20,471,723,5341,27,16,19,27,3.08,1,0,0,0,,0,10,5,1,,,294.0,294.4,321.4,310.4,,56,
Alex Erickson,CIN,WR,27,32,12,1,1,26,0,0,8,55,13.93,0,107,63,696,20.65,0,5,3,0,,,70.0,133.1,142.1,101.6,,227,
Gerald Everett,LAR,TE,25,29,2,0,0,0,0,0,3,16,8.0,0,110,70,728,20.729999999999997,5,0,0,5,,,107.0,176.39999999999998,182.39999999999998,141.39999999999998,,50,
Jacob Hollister,SEA,TE,26,19,4,0,0,0,0,0,0,0,,0,64,45,401,21.509999999999998,3,0,0,3,,,58.0,103.10000000000001,106.10000000000001,80.60000000000001,,121,
Tre'Quan Smith,NOR,WR,23,26,13,0,0,0,0,0,0,0,,0,69,46,661,28.25,10,0,0,10,,,126.0,172.10000000000002,178.10000000000002,149.1,,149,
Darrel Williams,KAN,RB,24,18,0,0,0,0,0,0,54,185,6.82,3,22,18,194,20.130000000000003,2,1,1,5,,,66.0,83.9,90.9,74.89999999999999,,159,
Allen Hurns,MIA,WR,28,30,14,0,0,0,0,0,0,0,,0,82,52,711,27.75,4,2,1,4,,,94.0,145.1,152.1,119.1,,184,
Chris Thompson,WAS,RB,29,21,0,0,0,0,0,0,80,316,7.869999999999999,0,113,83,646,15.54,1,2,0,1,,,103.0,185.2,197.2,143.7,,127,
Will Dissly,SEA,TE,23,10,10,0,0,0,0,0,1,7,,0,41,31,418,30.89,6,1,0,6,,,79.0,109.5,115.5,94.0,,78,
Russell Gage,ATL,WR,23,31,4,0,0,0,0,0,4,12,,0,84,55,509,19.6,1,1,1,1,,,56.0,111.1,115.1,83.6,,252,
O.J. Howard,TAM,TE,25,24,22,0,0,0,0,0,0,0,,0,101,68,1024,30.12,6,1,1,6,,,137.0,204.4,211.4,170.4,,41,
Adam Humphries,TEN,WR,26,28,13,0,0,0,0,0,3,12,6.5,0,152,113,1190,20.85,7,3,0,7,,,163.0,275.2,281.2,218.7,,117,
J.D. McKissic,DET,RB,26,21,3,0,0,0,0,0,41,213,8.059999999999999,0,43,34,233,,1,0,0,1,,,51.0,84.6,90.6,67.6,,213,
Demaryius Thomas,NYJ,WR,32,26,25,0,0,0,0,0,0,0,,0,147,95,1110,23.5,6,0,0,6,,,147.0,242.0,248.0,194.5,,129,
Mike Boone,MIN,RB,24,24,2,0,0,0,0,0,60,320,9.84,3,7,5,18,6.17,0,0,0,3,,,52.0,56.8,59.8,54.3,,182,
Josh Gordon,2TM,WR,28,23,19,0,1,0,0,1,1,1,,0,118,68,1163,33.76,5,0,0,5,,,145.0,212.39999999999998,219.39999999999998,179.4,,132,
Hayden Hurst,BAL,TE,26,28,4,0,0,0,0,0,1,0,,0,62,43,512,24.17,3,0,0,3,,,69.0,112.2,118.2,90.7,,91,
Jalen Richard,OAK,RB,26,32,1,0,0,0,0,0,94,404,8.43,1,124,104,930,17.9,0,5,2,1,,,136.0,239.39999999999998,253.39999999999998,187.39999999999998,,109,
Jordan Wilkins,IND,RB,25,30,4,0,0,0,0,0,111,643,11.62,3,28,23,128,11.45,0,2,2,3,,,91.0,114.1,122.1,102.6,,139,
Vance McDonald,PIT,TE,29,29,28,0,0,0,0,0,1,2,,0,127,88,883,19.38,7,3,1,7,,,129.0,216.5,223.5,172.5,,47,
Albert Wilson,MIA,WR,27,20,7,2,3,72,1,0,13,61,11.0,0,97,69,742,23.2,5,0,0,5,,,117.0,186.2,192.2,151.7,,162,
Ricky Seals-Jones,CLE,TE,24,29,8,0,0,0,0,0,0,0,,0,91,48,572,26.45,5,1,1,5,,,85.0,133.2,140.2,109.19999999999999,,69,
Nick Boyle,BAL,TE,26,32,28,0,0,0,0,0,0,0,,0,80,54,534,19.61,2,0,0,2,,,65.0,119.39999999999999,125.39999999999999,92.4,,97,
Jeff Wilson,SFO,RB,24,16,2,0,0,0,0,0,93,371,7.92,4,20,15,132,19.5,1,3,2,5,,,76.0,91.3,99.3,83.8,,150,
David Moore,SEA,WR,24,30,8,0,0,0,0,0,4,30,13.33,0,87,43,746,34.83,7,4,1,7,,,118.0,160.6,167.6,139.1,,154,
Brandon Bolden,NWE,RB,29,31,2,0,0,0,0,0,23,159,15.91,5,14,12,124,16.66,2,1,1,7,,,68.0,80.3,84.3,74.3,,158,
Cody Latimer,NYG,WR,27,21,12,0,0,0,0,0,0,0,,0,58,35,490,29.77,3,0,0,3,,,67.0,102.0,108.0,84.5,,224,
Geronimo Allison,GNB,WR,25,21,10,0,0,0,0,0,1,7,,0,85,54,590,23.59,4,3,1,4,,,83.0,137.7,144.7,110.69999999999999,,191,
Josh Hill,NOR,TE,29,32,22,0,0,0,0,0,0,0,,0,59,41,411,20.6,4,0,0,4,,,66.0,106.1,112.1,85.6,,93,
Dion Lewis,TEN,RB,29,32,8,0,0,0,0,0,209,726,7.21,1,99,84,564,13.34,2,2,2,3,,,143.0,227.0,241.0,185.0,,108,
Josh Reynolds,LAR,WR,24,32,10,0,0,0,0,0,7,31,8.6,0,96,50,728,29.38,6,0,0,6,,,112.0,161.9,167.9,136.9,,165,
Damiere Byrd,ARI,WR,26,19,3,0,0,0,0,0,0,0,,0,48,33,367,19.22,1,1,1,1,,,41.0,73.7,77.7,57.199999999999996,,294,
Marcus Johnson,IND,WR,25,13,6,0,0,0,0,0,1,-2,,0,41,23,379,33.29,3,0,0,3,,,56.0,78.7,84.7,67.2,,245,
Dare Ogunbowale,TAM,RB,25,18,0,0,0,0,0,0,11,17,,2,46,35,286,,0,2,1,2,,,,,,,,236,
Seth Roberts,BAL,WR,28,31,7,0,0,0,0,0,3,5,,0,99,66,765,23.880000000000003,4,0,0,4,,,101.0,167.0,173.0,134.0,,176,
Kalen Ballage,MIA,RB,24,24,6,0,0,0,0,0,110,326,7.13,4,35,23,119,10.719999999999999,0,1,1,4,,,67.0,89.5,96.5,78.0,,161,
Giovani Bernard,CIN,RB,28,28,6,0,0,0,0,0,109,381,6.98,3,91,65,452,14.030000000000001,0,2,1,3,,,99.0,164.3,177.3,131.8,,134,
Nick Foles,JAX,QB,30,9,9,218,312,2149,10,6,13,40,7.64,0,1,1,10,,0,6,4,0,,,113.0,113.9,129.9,119.4,,79,
Wayne Gallman,NYG,RB,25,25,4,0,0,0,0,0,80,286,7.24,3,37,25,191,15.629999999999999,1,3,2,4,,,68.0,92.7,103.7,80.2,,162,
Paul Richardson,WAS,WR,27,17,10,0,0,0,0,0,3,9,4.5,0,77,48,507,21.85,4,0,0,4,,,76.0,123.6,129.6,99.6,,203,
DaeSean Hamilton,DEN,WR,24,30,7,0,0,0,0,0,0,0,,0,97,58,540,18.71,3,0,0,3,,,72.0,130.0,136.0,101.0,,210,
Isaiah McKenzie,BUF,WR,24,23,9,0,0,0,0,0,18,115,12.73,2,69,45,433,19.35,1,2,1,3,,,71.0,115.8,122.8,93.3,,213,
C.J. Uzomah,CIN,TE,26,32,31,0,0,0,0,0,0,0,,0,104,70,681,19.17,5,0,0,5,,,98.0,168.10000000000002,174.10000000000002,133.10000000000002,,60,
Demetrius Harris,CLE,TE,28,30,9,0,0,0,0,0,0,0,,0,52,27,313,23.6,6,0,0,6,,,69.0,96.3,102.3,82.8,,79,
Jonathan Williams,IND,RB,25,12,1,0,0,0,0,0,52,235,4.8,1,6,6,60,12.8,0,0,0,1,,,,41.5,44.5,38.5,,232,
Tavon Austin,DAL,WR,29,21,0,0,0,0,0,0,12,102,17.0,1,37,21,317,31.119999999999997,3,1,0,4,,,66.0,86.9,92.9,76.4,,221,
Delanie Walker,TEN,TE,35,8,5,0,0,0,0,0,0,0,,0,38,25,267,23.240000000000002,2,1,0,2,,,39.0,63.7,66.7,51.2,,136,
Marvin Hall,DET,WR,26,25,0,0,0,0,0,0,3,7,7.0,0,30,17,410,52.19,2,0,0,2,,,54.0,70.69999999999999,76.69999999999999,62.199999999999996,,243,
Matt Schaub,ATL,QB,38,9,1,55,74,600,3,1,4,-3,-1.0,0,1,1,-7,,0,2,1,0,,,,34.0,39.0,34.5,,110,
Jaron Brown,SEA,WR,29,30,6,0,0,0,0,0,0,0,,0,47,30,386,25.61,7,1,1,7,,,79.0,108.6,115.6,93.6,,198,
Vyncint Smith,NYJ,WR,23,20,5,0,0,0,0,0,3,52,,1,41,22,316,31.439999999999998,1,1,1,2,,,47.0,68.80000000000001,72.80000000000001,57.800000000000004,,260,
Pharoh Cooper,2TM,WR,24,20,1,0,0,0,0,0,1,2,,0,34,25,243,,1,1,0,1,,,,,,,,322,
Keke Coutee,HOU,WR,22,15,6,0,0,0,0,0,5,14,7.0,1,77,50,541,21.8,1,1,1,2,,,66.0,115.5,122.5,90.5,,219,
Kyle Juszczyk,SFO,RB,28,28,26,0,0,0,0,0,11,37,6.08,0,65,50,563,22.75,2,2,2,2,,,68.0,118.0,126.0,93.0,,158,
Malik Turner,SEA,WR,23,21,3,0,0,0,0,0,0,0,,0,25,17,265,26.33,1,0,0,1,,,33.0,49.5,52.5,41.0,,297,
Charles Clay,ARI,TE,30,28,22,0,0,0,0,0,0,0,,0,60,39,421,21.93,1,1,1,1,,,46.0,85.1,92.1,65.6,,110,
Chester Rogers,IND,WR,25,28,16,0,0,0,0,0,2,14,14.0,0,100,69,664,20.34,4,3,1,4,,,94.0,162.8,169.8,128.3,,189,
Jeremy Sprinkle,WAS,TE,25,32,22,0,0,0,0,0,0,0,,0,49,31,282,17.47,2,1,0,2,,,40.0,71.2,74.2,55.7,,122,
Jarius Wright,CAR,WR,30,32,15,0,0,0,0,0,3,32,12.5,0,117,71,743,20.97,1,3,1,1,,,84.0,154.5,161.5,119.0,,194,
DeSean Jackson,PHI,WR,33,15,13,0,0,0,0,0,6,29,,1,84,50,933,36.55,6,0,0,7,,,138.0,188.20000000000002,194.20000000000002,163.20000000000002,,146,
Jake Kumerow,GNB,WR,27,19,6,0,0,0,0,0,0,0,,0,32,20,322,31.130000000000003,2,0,0,2,,,44.0,64.2,70.2,54.2,,262,
Justin Watson,TAM,WR,24,28,2,0,0,0,0,0,0,0,,0,29,16,164,15.6,2,0,0,2,,,29.0,44.4,47.4,36.4,,318,
Jakeem Grant,MIA,WR,27,20,4,0,0,0,0,0,5,10,6.25,1,67,40,432,21.39,2,2,1,6,,,78.0,118.19999999999999,125.19999999999999,98.19999999999999,,204,
James O'Shaughnessy,JAX,TE,27,19,14,0,0,0,0,0,0,0,,0,58,38,367,19.85,2,0,0,2,,,48.0,86.69999999999999,92.69999999999999,67.69999999999999,,104,
Mark Walton,MIA,RB,22,21,4,0,0,0,0,0,67,235,6.220000000000001,0,29,20,130,14.129999999999999,0,1,1,0,,,35.0,54.5,58.5,44.5,,193,
Chase Daniel,CHI,QB,33,8,3,98,140,950,6,4,19,9,1.23,0,1,1,8,,0,4,0,0,,,56.0,56.7,66.7,60.2,,91,
Anthony Firkser,TEN,TE,24,27,1,0,0,0,0,0,0,0,,0,44,33,429,26.41,2,0,0,2,,,55.0,87.9,93.9,71.4,,92,
Isaiah Ford,MIA,WR,23,9,0,0,0,0,0,0,1,11,,0,36,23,244,,0,0,0,0,,,,,,,,357,
Marquise Goodwin,SFO,WR,29,20,14,0,0,0,0,0,5,24,17.25,0,64,35,581,32.67,5,1,0,5,,,90.0,125.5,131.5,108.0,,197,
Dontrell Hilliard,CLE,RB,24,25,0,0,1,0,0,1,13,49,,2,25,21,197,19.34,0,2,0,2,,,35.0,55.6,59.6,46.1,,193,
Bilal Powell,NYJ,RB,31,20,8,0,1,0,0,0,139,572,8.17,0,30,18,143,14.71,1,2,1,1,,,75.0,93.5,103.5,84.5,,152,
Trey Quinn,WAS,WR,24,15,8,0,0,0,0,0,1,0,,0,57,35,273,15.95,2,1,1,2,,,40.0,74.3,78.3,56.8,,279,
Damion Ratley,CLE,WR,24,26,6,0,0,0,0,0,0,0,,0,44,25,344,27.75,1,0,0,1,,,40.0,65.4,71.4,52.9,,275,
Maxx Williams,ARI,TE,25,29,16,0,0,0,0,0,3,8,,0,36,31,345,22.41,2,0,0,2,,,47.0,78.30000000000001,84.30000000000001,62.800000000000004,,108,
Dan Arnold,2TM,TE,24,15,2,0,0,0,0,0,0,0,,0,33,20,277,28.380000000000003,3,1,0,3,,,46.0,65.7,71.7,55.7,,110,
Cordarrelle Patterson,CHI,WR,28,31,9,0,0,0,0,0,59,331,11.489999999999998,1,45,32,330,19.31,3,1,1,6,,,101.0,132.1,142.1,116.1,,187,
Ito Smith,ATL,RB,24,21,0,0,0,0,0,0,112,421,8.32,5,46,38,239,13.54,0,1,0,5,,,96.0,134.0,143.0,115.0,,138,
Javon Wims,CHI,WR,25,20,6,0,0,0,0,0,0,0,,0,44,22,218,18.33,1,0,0,1,,,28.0,49.800000000000004,52.800000000000004,38.800000000000004,,305,
Ameer Abdullah,MIN,RB,26,26,0,0,0,0,0,0,24,116,6.0,0,25,18,116,15.2,1,2,2,1,,,25.0,43.199999999999996,48.199999999999996,34.2,,233,
Dante Pettis,SFO,WR,24,23,11,1,1,16,0,0,1,-2,,0,69,38,576,27.21,7,2,0,7,,,101.0,138.0,144.0,119.0,,189,
Laquon Treadwell,MIN,WR,24,28,8,0,0,0,0,0,0,0,,0,69,44,486,29.07,2,0,0,2,,,60.0,104.6,110.6,82.6,,236,
Rhett Ellison,NYG,TE,31,24,19,0,0,0,0,0,0,0,,0,62,43,439,20.16,2,0,0,2,,,58.0,100.9,106.9,79.4,,86,
Bennie Fowler,NYG,WR,28,18,7,0,0,0,0,0,1,20,,0,63,39,392,20.83,1,1,0,1,,,49.0,88.19999999999999,94.19999999999999,68.69999999999999,,260,
Logan Thomas,DET,TE,28,28,6,1,1,15,0,0,0,0,,0,45,28,250,17.23,1,0,0,1,,,31.0,59.599999999999994,62.599999999999994,45.6,,133,
Justin Jackson,LAC,RB,24,20,1,0,0,0,0,0,79,406,11.02,2,30,24,157,11.44,0,0,0,2,,,68.0,92.3,101.3,80.3,,161,
Zay Jones,2TM,WR,24,31,24,0,1,0,0,0,2,3,3.0,0,147,83,868,19.64,7,1,0,7,,,131.0,214.1,220.1,172.6,,168,
Marcedes Lewis,GNB,TE,35,32,15,0,0,0,0,0,0,0,,0,23,18,195,23.4,1,0,0,1,,,26.0,43.5,46.5,34.5,,153,
Tim Patrick,DEN,WR,26,24,6,0,0,0,0,0,3,17,,0,72,39,533,27.33,1,2,1,1,,,59.0,98.0,105.0,78.5,,240,
Ross Dwelley,SFO,TE,24,27,6,0,0,0,0,0,0,0,,0,24,17,105,13.07,2,0,0,2,,,22.0,39.5,39.5,31.0,,164,
C.J. Ham,MIN,RB,26,31,9,0,0,0,0,0,13,25,3.7600000000000002,0,41,28,234,16.490000000000002,1,1,1,1,,,30.0,57.900000000000006,61.900000000000006,43.900000000000006,,197,
Brian Hoyer,IND,QB,34,9,1,36,67,379,4,4,19,-6,-0.48,0,0,0,0,,0,2,1,0,,,20.0,20.6,28.6,24.6,,119,
Derek Carrier,OAK,TE,29,32,6,0,0,0,0,0,1,27,,0,31,20,175,17.880000000000003,2,0,0,2,,,33.0,52.2,55.2,42.2,,130,
Trevor Davis,3TM,WR,26,16,4,0,0,0,0,0,4,73,,1,11,8,111,,0,3,2,1,,,,,,,,355,
Justin Hardy,ATL,WR,28,32,1,0,0,0,0,0,0,0,,0,48,33,328,19.759999999999998,2,1,0,2,,,45.0,77.8,83.8,61.3,,272,
Richie James,SFO,WR,24,29,3,0,0,0,0,0,2,-1,,0,24,15,295,41.94,2,3,2,3,,,43.0,58.4,66.4,50.9,,274,
Ian Thomas,CAR,TE,23,32,9,0,0,0,0,0,0,0,,0,79,52,469,17.75,3,0,0,3,,,65.0,116.9,122.9,90.9,,84,
Matt LaCosse,NWE,TE,27,26,13,0,0,0,0,0,0,0,,0,56,37,381,20.5,2,0,0,2,,,50.0,87.1,93.1,68.6,,97,
Ty Montgomery,NYJ,RB,26,29,2,0,0,0,0,0,73,291,7.8100000000000005,1,57,38,325,16.32,0,2,1,1,,,65.0,103.6,113.6,84.6,,186,
C.J. Prosise,SEA,RB,25,14,0,0,0,0,0,0,24,69,0.1299999999999999,1,15,13,98,14.93,0,1,1,1,,,21.0,33.7,34.7,27.2,,228,
Vernon Davis,WAS,TE,35,18,9,0,0,0,0,0,0,0,,0,55,35,490,26.98,3,0,0,3,,,69.0,104.0,110.0,86.5,,83,
Dontrelle Inman,2TM,WR,30,16,5,0,0,0,0,0,0,0,,0,60,40,485,25.939999999999998,3,0,0,3,,,66.0,106.5,112.5,86.5,,232,
Josh Rosen,MIA,QB,22,20,16,275,502,2845,12,19,26,151,10.33,0,0,0,0,,0,11,5,0,,,131.0,130.9,163.9,149.9,,83,
Jeff Heuerman,DEN,TE,27,25,21,0,0,0,0,0,0,0,,0,68,45,395,17.200000000000003,3,0,0,3,,,57.0,102.5,108.5,80.0,,94,
A.J. McCarron,HOU,QB,29,4,1,22,40,233,0,1,8,37,7.13,1,0,0,0,,0,1,0,1,,,,17.0,18.0,18.0,,115,
Cam Newton,CAR,QB,30,16,16,370,560,3967,24,14,106,486,4.43,4,0,0,0,,0,8,2,4,,,300.0,299.3,324.3,313.3,,63,
Nick O'Leary,2TM,TE,27,24,12,0,0,0,0,0,0,0,,0,28,21,195,19.130000000000003,2,1,0,2,,,32.0,52.5,55.5,42.0,,132,
Nick Vannett,2TM,TE,26,31,16,0,0,0,0,0,0,0,,0,65,46,435,19.04,3,1,0,3,,,62.0,107.5,113.5,84.5,,93,
Ben Watson,NWE,TE,39,26,12,0,0,0,0,0,0,0,,0,70,52,573,21.61,2,0,0,2,,,69.0,121.3,127.3,95.3,,85,
T.J. Yeldon,BUF,RB,26,20,5,0,0,0,0,0,121,477,7.6899999999999995,1,93,68,611,18.39,4,2,2,5,,,135.0,202.79999999999998,213.8,168.79999999999998,,126,
Robert Griffin,BAL,QB,29,10,1,25,44,246,1,2,20,70,,0,0,0,0,,0,0,0,0,,,17.0,16.8,18.8,18.8,,114,
Robert Tonyan,GNB,TE,25,27,2,0,0,0,0,0,0,0,,0,21,14,177,29.25,2,0,0,2,,,30.0,43.7,46.7,36.7,,136,
Joshua Perkins,PHI,TE,26,14,1,0,0,0,0,0,0,0,,0,24,14,154,23.07,1,0,0,1,,,22.0,35.4,35.4,28.4,,156,
MyCole Pruitt,TEN,TE,27,31,11,0,0,0,0,0,0,0,,0,19,15,192,26.33,2,0,0,2,,,31.0,46.2,49.2,38.7,,132,
Wendell Smallwood,WAS,RB,25,31,6,0,0,0,0,0,109,445,7.859999999999999,3,48,37,294,15.32,2,2,1,5,,,104.0,140.9,147.9,122.4,,140,
DeAndre Carter,HOU,WR,26,30,7,0,0,0,0,0,1,7,,0,39,33,378,24.55,0,7,2,0,,,34.0,67.5,75.5,51.0,,283,
Seth Devalve,JAX,TE,26,25,10,0,0,0,0,0,0,0,,0,25,17,214,26.47,1,0,0,1,,,27.0,44.4,47.4,35.9,,141,
Trey Edmunds,PIT,RB,25,15,0,0,0,0,0,0,22,92,,0,7,6,48,,0,0,0,0,,,,,,,,255,
Virgil Green,LAC,TE,31,31,20,0,0,0,0,0,0,0,,0,40,28,288,19.72,2,0,0,2,,,41.0,68.8,71.8,54.8,,119,
Jesse James,DET,TE,25,32,18,0,0,0,0,0,0,0,,0,66,46,565,22.98,2,0,0,2,,,68.0,114.5,120.5,91.5,,89,
Daniel Brown,NYJ,TE,27,30,5,0,0,0,0,0,0,0,,0,11,7,72,,1,0,0,1,,,,,,,,190,
Rico Gafford,OAK,WR,23,5,1,0,0,0,0,0,0,0,,0,2,2,66,,1,0,0,1,,,,,,,,372,
Tyler Kroft,BUF,TE,27,16,5,0,0,0,0,0,0,0,,0,20,10,107,20.83,1,0,0,1,,,17.0,26.700000000000003,26.700000000000003,21.700000000000003,,176,
Ben Roethlisberger,PIT,QB,37,18,18,487,737,5480,34,17,32,105,10.16,3,1,1,-1,,0,8,2,3,,,354.0,354.59999999999997,379.59999999999997,371.09999999999997,,56,
Ben Braunecker,CHI,TE,25,26,5,0,0,0,0,0,0,0,,0,16,9,101,23.83,1,0,0,1,,,16.0,25.099999999999998,25.099999999999998,20.6,,174,
Antonio Brown,NWE,WR,31,16,15,0,1,0,0,0,1,5,,0,176,108,1353,26.47,16,0,0,16,,,232.0,339.8,342.8,285.8,,150,
Rashard Higgins,CLE,WR,25,23,2,0,0,0,0,0,0,0,,0,64,43,627,28.42,5,2,1,5,,,91.0,133.7,137.7,112.2,,207,
Javorius Allen,NYG,RB,28,24,0,0,0,0,0,0,51,146,6.28,4,45,36,205,14.6,2,1,1,6,,,70.0,105.1,112.1,87.1,,168,
Darren Sproles,PHI,RB,36,12,3,0,0,0,0,0,46,186,8.02,1,33,21,184,14.67,2,1,0,3,,,57.0,78.0,84.0,67.5,,175,
Brandon Zylstra,CAR,WR,26,24,0,0,0,0,0,0,0,0,,0,14,9,129,36.25,0,1,0,0,,,13.0,21.900000000000002,24.900000000000002,17.4,,333,
Marcell Ateman,OAK,WR,25,18,6,0,0,0,0,0,0,0,,0,41,20,270,33.47,1,1,1,1,,,31.0,51.0,58.0,41.0,,291,
Andy Janovich,DEN,RB,26,23,10,0,0,0,0,0,3,6,3.5,1,15,13,154,22.4,1,0,0,2,,,28.0,41.0,44.0,34.5,,195,
T.J. Jones,NYG,WR,27,18,3,0,0,0,0,0,0,0,,0,30,22,228,22.67,3,3,0,3,,,41.0,62.8,65.8,51.8,,271,
JJ Nelson,OAK,WR,27,16,3,0,0,0,0,0,4,0,,0,24,11,100,18.14,1,0,0,1,,,16.0,27.0,27.0,21.5,,319,
David Njoku,CLE,TE,23,20,15,0,0,0,0,0,0,0,,0,98,61,680,19.61,5,0,0,5,,,98.0,159.0,162.0,128.5,,85,
Danny Vitale,GNB,RB,26,20,4,0,0,0,0,0,1,3,,0,14,8,99,15.86,0,0,0,0,,,,18.2,18.2,14.2,,259,
Derek Watt,LAC,RB,27,32,7,0,0,0,0,0,11,21,4.18,1,6,4,34,12.67,0,0,0,1,,,11.0,15.5,15.5,13.5,,250,
Mo Alie-Cox,IND,TE,26,25,3,0,0,0,0,0,0,0,,0,24,15,226,30.630000000000003,2,0,0,2,,,34.0,49.599999999999994,52.599999999999994,42.1,,130,
Kenjon Barner,ATL,RB,29,23,0,1,1,3,0,0,23,99,10.74,0,9,7,25,6.67,0,5,1,1,,,16.0,23.5,24.5,20.0,,222,
Antonio Callaway,CLE,WR,22,20,13,0,0,0,0,0,2,7,,0,94,51,675,24.76,5,1,1,5,,,98.0,149.20000000000002,153.20000000000002,123.7,,209,
Robert Foster,BUF,WR,25,26,5,0,0,0,0,0,2,29,,0,62,30,605,41.37,3,0,0,3,,,81.0,111.39999999999999,114.39999999999999,96.39999999999999,,226,
Marshawn Lynch,SEA,RB,33,7,6,0,0,0,0,0,102,410,7.01,4,20,15,84,,0,0,0,4,,,73.0,88.4,91.4,80.9,,164,
Lee Smith,BUF,TE,32,32,9,0,0,0,0,0,0,0,,0,16,14,104,15.05,4,0,0,4,,,34.0,48.4,48.4,41.4,,132,
Alex Armah,CAR,RB,25,32,3,0,0,0,0,0,15,26,3.5,3,3,3,11,8.0,0,0,0,3,,,22.0,24.7,24.7,23.2,,209,
Nick Bellore,SEA,RB,30,28,5,0,0,0,0,0,1,0,,0,6,6,38,15.25,1,0,0,1,,,10.0,15.8,15.8,12.8,,251,
Trey Burton,CHI,TE,28,24,21,0,0,0,0,0,1,2,,0,100,68,653,16.54,6,1,1,6,,,101.0,169.5,173.5,135.5,,88,
KhaDarel Hodge,CLE,WR,24,30,1,0,0,0,0,0,0,0,,0,13,6,93,27.5,0,0,0,0,,,10.0,15.3,15.3,12.3,,352,
Trent Sherfield,ARI,WR,23,29,3,0,0,0,0,0,0,0,,0,41,23,290,31.05,1,0,0,1,,,35.0,58.0,61.0,46.5,,287,
Luke Willson,SEA,TE,29,22,15,0,0,0,0,0,0,0,,0,29,21,166,16.57,0,0,0,0,,,17.0,37.6,37.6,27.1,,164,
Chad Beebe,MIN,WR,25,6,0,0,0,0,0,0,0,0,,0,6,6,109,44.75,0,3,0,0,,,11.0,16.9,16.9,13.9,,339,
Blake Bell,KAN,TE,28,25,11,0,0,0,0,0,0,0,,0,26,16,134,16.76,0,0,0,0,,,14.0,29.4,29.4,21.4,,173,
Devontae Booker,DEN,RB,27,32,0,0,0,0,0,0,36,192,9.879999999999999,1,60,44,332,16.740000000000002,0,1,1,1,,,57.0,100.39999999999999,107.39999999999999,78.39999999999999,,186,
Chris Hogan,CAR,WR,32,23,8,0,0,0,0,0,0,0,,0,70,43,599,23.58,3,0,0,3,,,78.0,120.9,123.9,99.4,,236,
